date,PLN,EUR,USD,GBP,SEK,NOK,CHF,JPY
2024-04-25,4.021656,0.932249,1,0.799522,10.88464,10.96559,0.912732,155.62125
2024-04-24,4.051967,0.934577,1,0.802618,10.883383,10.993765,0.914486,155.272
2024-04-23,4.026685,0.934374,1,0.802936,10.813746,10.908812,0.911781,154.74975
2024-04-22,4.052827,0.938532,1,0.80973,10.886745,10.984455,0.911865,154.81932143
2024-04-21,4.04295,0.938301,1,0.808055,10.927382,11.018578,0.91125,154.6395
2024-04-20,4.044984,0.937866,1,0.808473,10.91365,11.0179,0.910502,154.625
2024-04-19,4.04465,0.937866,1,0.808473,10.91365,11.0179,0.9105,154.625
2024-04-18,4.076937,0.939624,1,0.80415,10.97723,11.05901,0.912507,154.613
2024-04-17,4.066757,0.937283,1,0.803014,10.944272,11.008805,0.910697,154.343375
2024-04-16,4.111801,0.941523,1,0.804466,10.94621,10.975823,0.912622,154.7025
2024-04-15,4.051959,0.941195,1,0.803457,10.878983,10.93447,0.911958,154.21789474
2024-04-14,4.023906,0.939308,1,0.802592,10.869071,10.871392,0.91379,153.3085
2024-04-13,4.029984,0.93825,1,0.802762,10.8758,10.9003,0.914185,153.275
2024-04-12,4.029986,0.93825,1,0.802762,10.8758,10.9003,0.914185,153.275
2024-04-11,3.974148,0.932305,1,0.796622,10.7255,10.823691,0.909857,153.19925
2024-04-10,3.971842,0.931,1,0.79767,10.725845,10.84128,0.913212,152.9555
2024-04-09,3.92956,0.920904,1,0.78882,10.551833,10.672629,0.903103,151.7794
2024-04-08,3.921839,0.920628,1,0.790045,10.557992,10.678416,0.905073,151.83867857
2024-04-07,3.954155,0.923363,1,0.792096,10.653279,10.754498,0.903241,151.685
2024-04-06,3.949387,0.9222,1,0.791264,10.676985,10.7294,0.901883,151.605
2024-04-05,3.949987,0.9222,1,0.791202,10.676985,10.7294,0.901883,151.605
2024-04-04,3.95947,0.922801,1,0.791174,10.64803,10.73088,0.90157,151.2975
2024-04-03,3.96147,0.922668,1,0.790423,10.642247,10.716485,0.90299,151.585
2024-04-02,3.985605,0.928662,1,0.795159,10.744882,10.838228,0.907837,151.55171053
2024-04-01,4.000131,0.9314,1,0.797064,10.804325,10.965872,0.905091,151.596
2024-03-31,3.980144,0.926486,1,0.791311,10.6798,10.845679,0.902038,151.41125
2024-03-30,3.977874,0.925917,1,0.792016,10.6575,10.8172,0.902107,151.34500321
2024-03-29,3.977942,0.925917,1,0.79205,10.6575,10.8172,0.9021,151.34500321
2024-03-28,3.991661,0.926694,1,0.792318,10.7013,10.851432,0.901245,151.44642724
2024-03-27,3.990695,0.924847,1,0.79255,10.643225,10.803052,0.905638,151.29883333
2024-03-26,3.979152,0.923148,1,0.791893,10.588455,10.758268,0.9037,151.527
2024-03-25,3.974358,0.92276,1,0.791367,10.581782,10.71835,0.89959,151.385
2024-03-24,3.998496,0.925302,1,0.793805,10.567158,10.756035,0.897687,151.323
2024-03-23,3.997883,0.92095,1,0.793588,10.5679,10.7562,0.897945,151.416043
2024-03-22,3.997883,0.92095,1,0.793588,10.5679,10.7562,0.897786,151.416043
2024-03-21,3.964833,0.920632,1,0.789858,10.468145,10.667445,0.897731,151.637
2024-03-20,3.94216,0.914281,1,0.781375,10.369445,10.553798,0.885665,150.74049541
2024-03-19,3.973043,0.920666,1,0.786281,10.43572,10.643925,0.888586,151.025
2024-03-18,3.976121,0.919676,1,0.785739,10.428917,10.648673,0.887591,149.159
2024-03-17,3.952052,0.918814,1,0.785485,10.366538,10.62535,0.883616,148.96125
2024-03-16,3.951841,0.91825,1,0.785484,10.3577,10.6107,0.884534,149.04606807
2024-03-15,3.951841,0.91825,1,0.785361,10.3577,10.6107,0.8846,149.04606807
2024-03-14,3.944937,0.918877,1,0.784597,10.35002,10.571216,0.884317,148.305
2024-03-13,3.910687,0.913003,1,0.781177,10.222565,10.476675,0.878393,147.60266667
2024-03-12,3.924857,0.9152,1,0.781552,10.235911,10.514425,0.877446,147.6245
2024-03-11,3.91735,0.914859,1,0.780135,10.238737,10.444315,0.877359,146.73773333
2024-03-10,3.933149,0.913844,1,0.777865,10.211944,10.4231,0.877583,146.8
2024-03-09,3.931425,0.913784,1,0.777726,10.331325,10.426287,0.877742,147.06498746
2024-03-08,3.931125,0.913784,1,0.777726,10.331325,10.426287,0.8778,147.06498746
2024-03-07,3.928745,0.91315,1,0.780436,10.224265,10.400417,0.877349,147.866
2024-03-06,3.945731,0.917474,1,0.785183,10.288782,10.487755,0.882084,149.269
2024-03-05,3.972525,0.921159,1,0.787133,10.383202,10.575494,0.883641,150.053
2024-03-04,3.982562,0.921306,1,0.788101,10.369253,10.571849,0.88524,150.45744607
2024-03-03,3.982573,0.922366,1,0.789861,10.31994,10.519166,0.883449,150.13649175
2024-03-02,3.983509,0.92205,1,0.790077,10.359745,10.519702,0.884254,150.09493521
2024-03-01,3.983138,0.92205,1,0.790077,10.359745,10.519702,0.884412,150.09493521
2024-02-29,3.993867,0.925414,1,0.79197,10.37347,10.622863,0.884468,150.07
2024-02-28,3.98461,0.922645,1,0.789811,10.33592,10.596026,0.878783,150.66153629
2024-02-27,3.972441,0.922467,1,0.788627,10.308263,10.53286,0.879129,150.5165
2024-02-26,3.97302,0.92164,1,0.788398,10.280544,10.509764,0.880091,150.57625
2024-02-25,3.981399,0.924284,1,0.789235,10.32632,10.539235,0.881313,150.502
2024-02-24,3.979237,0.92315,1,0.788706,10.3298,10.537366,0.88059,150.48501336
2024-02-23,3.979231,0.92315,1,0.788644,10.3298,10.537366,0.8807,150.48501336
2024-02-22,3.994088,0.923736,1,0.789743,10.319842,10.5016,0.880109,150.47676077
2024-02-21,3.990134,0.924185,1,0.791253,10.36057,10.47975,0.879159,150.34566667
2024-02-20,3.992471,0.925078,1,0.792083,10.3616,10.489725,0.881963,149.97022222
2024-02-19,4.016203,0.928023,1,0.794434,10.394837,10.492965,0.882934,150.27266667
